"entry";"rank";"gw_points";"points_on_bench";"chip_played";"team_value";"in_bank";"transfers_done";"transfers_cost"
"127746";"207";"0";"0";"";"1006";"5";"1";"0"
"142707";"207";"0";"0";"";"1009";"0";"1";"0"
"179517";"207";"0";"0";"";"1009";"30";"1";"0"
"320345";"207";"0";"0";"";"1006";"0";"1";"0"
"350079";"207";"0";"0";"";"1006";"0";"1";"0"
"368697";"207";"0";"0";"";"1008";"0";"0";"0"
"585280";"207";"0";"0";"";"1005";"4";"1";"0"
"605206";"207";"0";"0";"wildcard";"1008";"1";"0";"0"
"742259";"207";"0";"0";"3xc";"1008";"0";"1";"0"
"881081";"207";"0";"0";"bboost";"1010";"0";"2";"4"
"967444";"207";"0";"0";"";"1009";"5";"1";"0"
"999415";"207";"0";"0";"";"1008";"0";"1";"0"
"1003462";"207";"0";"0";"freehit";"1007";"0";"0";"0"
"1153592";"207";"0";"0";"";"1006";"9";"1";"0"
"1476252";"207";"0";"0";"";"1004";"19";"1";"0"
"1547757";"207";"0";"0";"";"1009";"0";"1";"0"
"1715943";"207";"0";"0";"";"1009";"13";"1";"0"
"1739025";"207";"0";"0";"";"1007";"0";"0";"0"
"1873851";"207";"0";"0";"";"1009";"4";"1";"0"
"2398750";"207";"0";"0";"";"1009";"0";"2";"4"
"2885360";"207";"0";"0";"freehit";"1006";"29";"0";"0"
"2981153";"207";"0";"0";"";"1006";"5";"0";"0"
"3131790";"207";"0";"0";"";"1006";"14";"2";"4"
"3136519";"207";"0";"0";"";"1007";"10";"1";"0"
"3265033";"207";"0";"0";"";"1009";"2";"1";"0"
"3499288";"207";"0";"0";"";"1005";"0";"0";"0"
"3674940";"207";"0";"0";"";"1009";"1";"1";"0"
"1651134";"235";"0";"0";"";"1010";"8";"5";"16"
"3468891";"235";"0";"0";"";"1010";"5";"1";"0"
"335529";"237";"0";"0";"";"1007";"0";"0";"0"
"501891";"237";"0";"0";"";"1010";"10";"2";"0"
"569931";"237";"0";"0";"3xc";"1006";"3";"2";"0"
"668579";"237";"0";"0";"";"1008";"0";"0";"0"
"1007938";"237";"0";"0";"";"1006";"9";"2";"0"
"1050736";"237";"0";"0";"";"1010";"10";"1";"0"
"1492453";"237";"0";"0";"";"1010";"18";"2";"0"
"1788449";"237";"0";"0";"";"1008";"5";"0";"0"
"1864327";"237";"0";"0";"";"1008";"5";"1";"0"
"2084791";"237";"0";"0";"";"1007";"0";"0";"0"
"2585148";"237";"0";"0";"";"1005";"0";"0";"0"
"2661869";"237";"0";"0";"";"1006";"0";"2";"0"
"2733670";"237";"0";"0";"";"1004";"5";"0";"0"
"3074810";"237";"0";"0";"";"1007";"5";"0";"0"
"3301759";"237";"0";"0";"";"1007";"4";"2";"0"
"3350971";"237";"0";"0";"";"1004";"5";"0";"0"
"3406987";"237";"0";"0";"";"1005";"0";"0";"0"
"3547764";"237";"0";"0";"";"1005";"15";"1";"0"
"3694522";"237";"0";"0";"";"1004";"0";"0";"0"
